Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D4, D5, D6, D7, D8, D9",0603,30,LED,
D31,LED_D5.0mm-4_RGB_Wide_Pins,1,LED_BGKR,
"FID1, FID2, FID3",Fiducial_0.75mm_Mask1.5mm,3,Fiducial,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_ISO7380,4,MountingHole,
"J1, J10, J2, J3, J4, J5, J6, J7, J8, J9",Makey_Makey_Pad,10,Conn_01x01_Female,
"J11, J12, J13, J14",JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,4,Conn_01x04_Male,
"J15, J16",PinSocket_1x06_P2.54mm_Vertical,2,Conn_01x06_Female,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,TOUCH PULL UPS,
LDR1,R_LDR_4.9x4.2mm_P2.54mm_Vertical,1,VT93xx,
LS1,buzzer,1,Speaker_Crystal,
Q1,SOT-23,1,2N7002,
"R1, R10, R11, R12, R13, R14, R8, R9",0603,8,10K,
"R15, R2, R24, R25, R3, R4, R5, R6, R7",0603,9,470R,
"R16, R17, R18, R19, R20, R21, R22, R23",0603,8,22M,
"SW1, SW2",SW_PUSH-12mm_Wuerth-430476085716,2,SW_MEC_5E,
U1,FRANZININHO_WIFI_PINOUT,1,FRANZININHO_WIFI_PINOUT,
