Designator,Mid X,Mid Y,Rotation,Layer
D1,142.875,-93.98,0.0,top
D10,154.305,-97.79,0.0,top
D11,158.115,-97.79,0.0,top
D12,161.925,-97.79,0.0,top
D13,142.875,-101.6,0.0,top
D14,146.685,-101.6,0.0,top
D15,150.495,-101.6,0.0,top
D16,154.305,-101.6,0.0,top
D17,158.115,-101.6,0.0,top
D18,161.925,-101.6,0.0,top
D19,142.875,-105.41,0.0,top
D2,146.685,-93.98,0.0,top
D20,146.685,-105.41,0.0,top
D21,150.495,-105.41,0.0,top
D22,154.305,-105.41,0.0,top
D23,158.115,-105.41,0.0,top
D24,161.925,-105.41,0.0,top
D25,142.875,-109.22,0.0,top
D26,146.685,-109.22,0.0,top
D27,150.495,-109.22,0.0,top
D28,154.305,-109.22,0.0,top
D29,158.115,-109.22,0.0,top
D3,150.495,-93.98,0.0,top
D30,161.925,-109.22,0.0,top
D31,167.575,-81.5975,0.0,top
D4,154.305,-93.98,0.0,top
D5,158.115,-93.98,0.0,top
D6,161.925,-93.98,0.0,top
D7,142.875,-97.79,0.0,top
D8,146.685,-97.79,0.0,top
D9,150.495,-97.79,0.0,top
FID1,121.285,-80.645,0.0,top
FID2,183.515,-80.01,0.0,top
FID3,183.515,-109.855,0.0,top
J1,122.555,-73.025,0.0,top
J10,179.705,-86.0425,90.0,top
J11,136.35,-116.295,180.0,bottom
J12,149.05,-116.295,180.0,bottom
J13,161.75,-116.295,180.0,bottom
J14,174.45,-116.295,180.0,bottom
J15,121.945,-93.32,90.0,top
J16,182.855,-93.37,270.0,top
J2,130.175,-73.025,0.0,top
J3,137.795,-73.025,0.0,top
J4,145.415,-73.025,0.0,top
J5,159.385,-73.025,0.0,top
J6,167.005,-73.025,0.0,top
J7,174.625,-73.025,0.0,top
J8,182.245,-73.025,0.0,top
J9,125.095,-86.0425,90.0,top
LDR1,153.67,-71.12,180.0,top
LS1,152.41,-81.915,0.0,top
Q1,161.29,-81.915,180.0,top
R1,151.4475,-116.205,270.0,top
R10,167.64,-101.56,90.0,top
R11,137.16,-101.6,90.0,top
R12,172.72,-86.6775,0.0,top
R13,173.6725,-88.265,0.0,top
R14,153.3525,-116.205,270.0,top
R15,170.18,-86.6775,90.0,top
R16,131.7625,-83.82,90.0,top
R17,133.6675,-83.82,90.0,top
R18,135.5725,-83.82,90.0,top
R19,137.4775,-83.82,90.0,top
R2,137.16,-95.885,270.0,top
R20,139.3825,-83.82,90.0,top
R21,141.2875,-83.82,90.0,top
R22,143.1925,-83.82,90.0,top
R23,145.0975,-83.82,90.0,top
R24,168.275,-86.6775,90.0,top
R25,166.37,-86.6775,90.0,top
R3,138.7475,-95.885,270.0,top
R4,140.335,-95.885,270.0,top
R5,164.465,-95.885,270.0,top
R6,166.0525,-95.885,270.0,top
R7,167.64,-95.885,270.0,top
R8,160.3375,-84.455,180.0,top
R9,152.4,-74.295,180.0,top
SW1,170.28,-99.1,0.0,top
SW2,122.02,-99.06,0.0,top
U1,153.67,-101.6,180.0,bottom
